nazwa produktu / wpisu;kod produktu;kod specjalny;strona w gazetce;url;link mws z formu³y;Odpowiedzialny ;UWAGI
Monitor interaktywny Avtek TouchScreen 6 Lite;;TS6Lite;2, 10;https://avtek.pl/touchscreen-lite-6.html;https://mws.pl/gazetka/TS6Lite;Rafa³;
Monitor interaktywny Avtek TouchScreen 6 Connect;;TS6Connect;2;https://avtek.pl/touchscreen-connect-6.html;https://mws.pl/gazetka/TS6Connect;Rafa³;
Komputer Avtek OPS;;TS6OPS;3;https://avtek.pl/produkty/kategoria/3/Komputery-do-monitorow-interaktywnych;https://mws.pl/gazetka/TS6OPS;Rafa³;
Statyw mobilny Avtek TouchScreen Mobile Stand Pro;1MV041T;;3;https://avtek.pl/produkty/show/1MV041T/Avtek-TouchScreen-Mobile-Stand-Pro-tylko-do-monitorow-Avtek;https://mws.pl/gazetka/1MV041T;Rafa³;
Statyw mobilny Avtek TouchScreen Mobile Stand Next;1MV051;;3;https://avtek.pl/produkty/show/1MV051/Avtek-TouchScreen-Mobile-Stand-Next-bez-uchwytu;https://mws.pl/gazetka/1MV051;Rafa³;
Statyw mobilny elektryczny Avtek TouchScreen Electric Stand;1MV049;;3;https://avtek.pl/produkty/show/1MV049/Avtek-TouchScreen-Electric-Stand;https://mws.pl/gazetka/1MV049;Rafa³;
Avtek TouchScreen Electric Lift & Flip Stand;1MV050;;3;https://avtek.pl/produkty/show/1MV050/Avtek-TouchScreen-Electric-Lift--Flip-Stand;https://mws.pl/gazetka/1MV050;Rafa³;
Statyw mobilny elektryczny Avtek TouchScreen Electric Column;1MV052;;3;https://avtek.pl/produkty/show/1MV052/Avtek-TouchScreen-Electric-Column;https://mws.pl/gazetka/1MV052;Rafa³;
Aktywna tablica - program dofinansowania;;aktywnatablica;4;mws.pl/aktywnatablica;https://mws.pl/gazetka/aktywnatablica;Marta;
Aktywna tablica - program dofinansowania;;aktywnatablica;5;mws.pl/aktywnatablica;https://mws.pl/gazetka/aktywnatablica;Marta;
Aktywna tablica - zestawy;;aktywnatablica;6;mws.pl/aktywnatablica;https://mws.pl/gazetka/aktywnatablica;Marta;
Aktywna tablica - zestawy;;aktywnatablica;7;mws.pl/aktywnatablica;https://mws.pl/gazetka/aktywnatablica;Marta;
Projektory;;1PI216u;5;https://www.vidis.pl/product/5901/projektor-vivitek-dw770ust-uchwyt-scienny-wm3.html;https://mws.pl/gazetka/1PI216u;Maciej;
Tablica interaktywna ;;tabliceinteraktywne;5;https://avtek.pl/produkty/kategoria/5/TABLICE-INTERAKTYWNE;https://mws.pl/gazetka/tabliceinteraktywne;Maciej;
Monitory interaktywne;;monitoryinteraktywne;5;https://avtek.pl/monitory-interaktywne.html;https://mws.pl/gazetka/monitoryinteraktywne;Marta;
Filmy z doœwiadczeniami einstein;;filmyeinstein;8;https://laboratoriumszkolne.pl/filmy;https://mws.pl/gazetka/filmyeinstein;Patrycja;
Wiêcej produktów;;produktyeinstein;8;https://laboratoriumszkolne.pl/;https://mws.pl/gazetka/produktyeinstein;Patrycja;
Mobilne laboratorium cyfrowe Einstein Tablet+3;1TFL07;;9;https://laboratoriumszkolne.pl/urzadzenia.html;https://mws.pl/gazetka/1TFL07;Patrycja;
Rejestrator danych LabMate II;1TFL05;;9;https://laboratoriumszkolne.pl/urzadzenia.html;https://mws.pl/gazetka/1TFL05;Patrycja;
Podrêczniki;;podrecznikieinstein;9;https://laboratoriumszkolne.pl/dydaktyka.html;https://mws.pl/gazetka/podrecznikieinstein;Patrycja;
Zestaw pracownie przyrodnicze: biologia;1LAB24;;10;https://laboratoriumszkolne.pl/pracownie-przyrodnicze-2021.html;https://mws.pl/gazetka/1LAB24;Patrycja;
Zestaw pracownie przyrodnicze: chemia;1LAB26;;10;https://laboratoriumszkolne.pl/pracownie-przyrodnicze-2021.html;https://mws.pl/gazetka/1LAB26;Patrycja;
